name,group,title,restraunant,lon,lat,address,call,article,category,,,,,
강만수,산은금융지주,회장,돈후이,127.1270262,37.5040406,서울시 송파구 오금로35길 10,0234023333,,한식,,,,,
강석희,CJ E&M,대표,제일제면소,127.0032778,37.563942,서울시 중구 동호로330,0267407999,,한식,,,,,
강석원,한국공인회계사회,회장,예담,127.0249265,37.5167919,서울시 강남구 도산대로 16길 18,023656884,,한식,,,,,
강호갑,중견기업연합회,회장,예당,127.0326595,37.5226519,서울시 강남구 언주로 153길 5,025462525,,한식,,,,,
구자열,LS그룹,회장,본가,126.9586083,37.5343133,서울시 용산구 원효로 139-2,027146264,,한식,,,,,
권혁세,(전)금융감독원,원장,울돌목 가는 길,127.0091109,37.490192,서울시 서초구 반포대로 28길 8,025216032,,한식,,,,,
김기문,중소기업중앙회,회장,현복집,127.037321,37.5214628,서울시 강남구 도산대로 50길 14,025116888,,한식,,,,,
김도연,국가과학기술위원회,위원장,평가옥,126.9740251,37.5727405,서울시 종로구 새문안로 5가길 7,027321566,,한식,,,,,
김석동,금융위원회,위원장,진미식당,126.9557705,37.5505501,서울시 마포구 마포대로 186-6,0232114468,,한식,,,,,
김승조,한국항공우주연구원,원장,사리원,127.025143,37.4955344,서울시 서초구 서운로 136,0234745005,,한식,,,,,
김승호,보령제약그룹,회장,국시집,127.0042903,37.5883894,서울시 성북구 창경궁로 43길 9,027621924,,한식,,,,,
김영복,옥션 단,대표,대성집,126.9628529,37.5702957,서울시 종로구 통일로 184-11,027354259,,한식,,,,,
김정태,하나금융그룹,회장,대련집,126.9890267,37.5684035,서울시 종로구 관수동 163,0222655349,,한식,,,,,
김진환,법무법인 충정,대표변호사,가연,127.0123823,37.4901113,서울시 서초구 서초대로 48길 64,025221958,,한식,,,,,
김형오,국회,의장,샤르르 샤브샤브,126.9466979,37.5426459,서울시 마포구 토정로 37길 41,027175082,,한식,,,,,
김흥남,한국전자통신연구원,원장,예조,126.9701606,37.5751874,서울시 종로구 사직로 8길 9-1,027304646,,한식,,,,,
나카바야시 히사오,한국도요타,사장,새마을식당,127.0371126,37.5029067,서울시 강남구 봉은사로 30길 73,025684942,,한식,,,,,
도용환,스틱인베스트먼트,회장,버드나무집,127.0419549,37.5052564,서울시 강남구 언주로 522,0220883392,,한식,,,,,
류우익,통일부,장관,고향보리밥,126.9803496,37.5843826,서울시 종로구 삼청동 2,027369716,,한식,,,,,
마틴 유든,주한 영국 대사관,대사,달개비,126.9765543,37.5666832,서울시 중구 세종대로 19길 16,027633434,,한식,,,,,
문길주,한국과학기술연구원,원장,호반,126.9863109,37.5775194,서울시 종로구 재동 85-2,027334886,,한식,,,,,
문희상,국회,의원,대방골,126.9210728,37.530892,서울시 영등포구 여의도동 13 ,027834999,,한식,,,,,
박원순,서울시,시장,누리,126.985236,37.5749783,서울시 종로구 인사동 14길 23,027367848,,한식,,,,,
박인구,한국식품공업협회,회장,가족회관,127.0460203,37.5048631,서울시 강남구 테헤란로 51길 15,025672128,,한식,,,,,
박재순,한국농어촌공사,사장,유선식당,127.0100223,37.484969,서울시 서초구 효령로 49길 25,025256608,,한식,,,,,
박재완,기획재정부,장관,들풀,126.9701068,37.5864075,서울시 종로구 자하문로 118,027204323,,한식,,,,,
박종구,한국폴리텍대학,이사장,구마산,126.9306592,37.5214625,서울시 영등포구 여의도동 43,027823269,,한식,,,,,
박종수,금융투자협회,회장,안동국시,126.956751,37.5501101,서울시 마포구 마포대로 14가길 18-7,0232726465,,한식,,,,,
서남수,교육부,장관,삼미,126.9712233,37.5755382,서울시 종로구 사직로 12길 1-2,027366789,,한식,,,,,
성석제,소설가,NA,하모,127.0327822,37.5233152,서울시 강남구 신사동 627-17,025154266,,한식,,,,,
손경식,대한상공회의소,회장,두레,126.9866157,37.5733295,서울시 종로구 인사동 8-7,027322919,,한식,,,,,
송승환,PMC프로덕션,대표,예향,127.0503789,37.5064958,서울시 강남구 테헤란로 63길 20,025650033,,한식,,,,,
신영무,대한변호사협회,회장,우리집,127.0023031,37.5333894,서울시 용산구 대사관로 40,023791150,,한식,,,,,
안택수,신용보증기금,이사장,참복집,126.9529562,37.5452713,서울시 마포구 만리재로 1길 14,027021953,,한식,,,,,
오영호,KOTRA,사장,명선헌,127.0284809,37.4873605,서울시 서초구 서운로 39,025872942,,한식,,,,,
우리 구트만,주한 이스라엘 대사관,대사,참숯골,126.9788451,37.5677014,서울시 중구 무교로 19,027742100,,한식,,,,,
원택스님,조계사,스님,발우공양,126.9831801,37.5738938,서울시 종로구 우정국로 56,027332081,,한식,,,,,
유상호,한국투자증권,사장,동해가진항,126.9287991,37.563633,서울시 서대문구 연희로 60,023343399,,한식,,,,,
윤경희,맥쿼리증권,회장,행복한마음,126.9725443,37.5776905,서울시 종로구 자하문로 6길 12-18,027330995,,한식,,,,,
윤윤수,휠라글로벌,회장,예촌,127.0299329,37.4851648,서울시 서초구 서운로 12-1,025250987,,한식,,,,,
윤홍근,제너시스BBQ,회장,코리아하우스,127.0517699,37.5252911,서울시 강남구 압구정로 79길 56,025438888,,한식,,,,,
이경규,NA,방송인,청담1막,127.0385252,37.5225656,서울시 강남구 도산대로 334,025485529,,한식,,,,,
이장석,넥센히어로즈,대표,갯마을,126.9729615,37.5178481,서울시 용산구 이촌로 248,027985655,,한식,,,,,
이재후,김앤장,대표변호사,용금옥,126.9708967,37.5796945,서울시 종로구 자하문로 41-2,027774749,,한식,,,,,
